id,PROJECTNUMBER,MW,PROJECT_CITY,STATE,PROJECT_COUNTRY,CORE_MARKET,PROJECT_TYPE,SIZE_BUILDINGSIZE,NUMFLOORS,NUMROOMS,NUMBEDS,invoiceId,invoiceDate,invoiceTotal,ItemDescription,MasterItemNo,QtyShipped,UOM,ExtendedQuantity,PriceUOM,UnitPrice,ExtendedPrice,CONSTRUCTION_START_DATE,SUBSTANTIAL_COMPLETION_DATE,REVISED_ESTIMATE,ItemDesc_norm,cluster,material_key
3478,A0-0070,,Mumbai,Maharashtra,India,Enterprise,Workspace,9000,0,0,0,B0-0454,3/28/2023,159940.91,"GoldBond Multi-Use Mud 5 Gallon
Can Red",58211,2,can,2,,1983.125,,3/22/2023 0:00,5/25/2023 12:00,24095235.95,goldbond multi-use mud 5 gallon can red,14,Misc
8006,A0-0208,,Delhi,Delhi,India,Wellness,Health Center,31200,,,,B0-1821,1/12/2023,589473.26,"1-5/8"" x 10' Track 1-1/4"" Leg 20ga EQ",53691,15,PC,0.15,ML,53273,7990.95,11/1/2022 0:00,7/3/2023 12:00,951166124.3,1-5/8 x 10 track 1-1/4 leg 20ga eq,1,Steel
5748,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-1246,2/2/2024,544422.505,Westpac Fast Set 20 Lite 20# Bag,63311,5,BG,5,BG,864.225,4321.125,2/3/2020 0:00,10/31/2025 0:00,34925565107,westpac fast set 20 lite 20 bag,17,Misc
7898,A0-0166,,Chennai,Tamil Nadu,India,Tertiary Learning,Learning Hub,184000,0,0,0,B0-1800,1/4/2023,224771.98,"3-5/8"" ProX Header Clip 16ga (54mil)",61506,12,EA,12,EA,125.25,1503,11/19/2019 0:00,1/24/2025 12:00,15539779791,3-5/8 prox header clip 16ga 54mil,14,Hardware & Fasteners
11030,A0-0242,,Hyderabad,Telangana,India,Wellness,Ambulatory Care,25000,,,,B0-2850,9/7/2023,59264.125,"6"" x 16' Stud 1-5/8"" Flange 18ga",50921,8,PC,0.128,,,23780.8,12/3/2021 0:00,3/2/2023 12:00,686793929.5,6 x 16 stud 1-5/8 flange 18ga,5,Steel
6493,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1455,3/27/2024,115276.76,"1-1/2"" x 5"" x 6"" VertiClip SLB Bypass Clips 50/BX",51167,3,BX,150,PC,438.375,65756.25,8/15/2022 0:00,1/21/2025 0:00,23204555261,1-1/2 x 5 x 6 verticlip slb bypass clips 50/bx,9,Hardware & Fasteners
6344,A0-0186,,Pune,Maharashtra,India,Misc Market,Workspace,171000,5,,,B0-1410,3/15/2024,569605.27,"2-1/2"" x 10' Slotted Slip Track 2-1/2"" Leg 20ga 33mil",60918,20,PC,0.2,ML,131763,26352.6,10/18/2021 0:00,6/2/2026 0:00,15701858802,2-1/2 x 10 slotted slip track 2-1/2 leg 20ga 33mil,1,Steel
5360,A0-0003,,Ahmedabad,Gujarat,India,Future Tech,Critical Ops,450000,,,,B0-1142,1/10/2024,389225.23,500' USG Joint Tape 10/bx,61051,4,CT,40,RL,655.475,26219,7/12/2021 0:00,11/1/2024 17:00,14191958070,500 usg joint tape 10/bx,17,Drywall
4631,A0-0043,,Jaipur,Rajasthan,India,Wellness,Ambulatory Care,640000,,,,B0-0839,5/8/2024,,"SUCTION CUP LIFTER,8 IN CUP DIAMETER",58185,2,,,,8998.795,,3/22/2019 0:00,5/7/2025 17:00,39191521699,suction cup lifter 8 in cup diameter,14,Misc
5376,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1145,1/18/2024,1896259.95,"1-5/8"" x 10' Stud 1-5/8"" Flange 20ga 33mil",59950,15,PC,0.15,ML,170089.5,25513.425,8/15/2022 0:00,1/21/2025 0:00,23204555261,1-5/8 x 10 stud 1-5/8 flange 20ga 33mil,16,Steel
