id,PROJECTNUMBER,MW,PROJECT_CITY,STATE,PROJECT_COUNTRY,CORE_MARKET,PROJECT_TYPE,SIZE_BUILDINGSIZE,NUMFLOORS,NUMROOMS,NUMBEDS,invoiceId,invoiceDate,invoiceTotal,ItemDescription,MasterItemNo,QtyShipped,UOM,ExtendedQuantity,PriceUOM,UnitPrice,ExtendedPrice,CONSTRUCTION_START_DATE,SUBSTANTIAL_COMPLETION_DATE,REVISED_ESTIMATE
3478,A0-0070,,Mumbai,Maharashtra,India,Enterprise,Workspace,9000,0,0,0,B0-0454,3/28/2023,159940.91,"GoldBond Multi-Use Mud 5 Gallon
Can Red",58211,2,can,2,,1983.125,,3/22/2023 0:00,5/25/2023 12:00,24095235.95
8006,A0-0208,,Delhi,Delhi,India,Wellness,Health Center,31200,,,,B0-1821,1/12/2023,589473.26,"1-5/8"" x 10' Track 1-1/4"" Leg 20ga EQ",53691,15,PC,0.15,ML,53273,7990.95,11/1/2022 0:00,7/3/2023 12:00,951166124.3
5748,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-1246,2/2/2024,544422.505,Westpac Fast Set 20 Lite 20# Bag,63311,5,BG,5,BG,864.225,4321.125,2/3/2020 0:00,10/31/2025 0:00,34925565107
7898,A0-0166,,Chennai,Tamil Nadu,India,Tertiary Learning,Learning Hub,184000,0,0,0,B0-1800,1/4/2023,224771.98,"3-5/8"" ProX Header Clip 16ga (54mil)",61506,12,EA,12,EA,125.25,1503,11/19/2019 0:00,1/24/2025 12:00,15539779791
11030,A0-0242,,Hyderabad,Telangana,India,Wellness,Ambulatory Care,25000,,,,B0-2850,9/7/2023,59264.125,"6"" x 16' Stud 1-5/8"" Flange 18ga",50921,8,PC,0.128,,,23780.8,12/3/2021 0:00,3/2/2023 12:00,686793929.5
6493,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1455,3/27/2024,115276.76,"1-1/2"" x 5"" x 6"" VertiClip SLB Bypass Clips 50/BX",51167,3,BX,150,PC,438.375,65756.25,8/15/2022 0:00,1/21/2025 0:00,23204555261
6344,A0-0186,,Pune,Maharashtra,India,Misc Market,Workspace,171000,5,,,B0-1410,3/15/2024,569605.27,"2-1/2"" x 10' Slotted Slip Track 2-1/2"" Leg 20ga 33mil",60918,20,PC,0.2,ML,131763,26352.6,10/18/2021 0:00,6/2/2026 0:00,15701858802
5360,A0-0003,,Ahmedabad,Gujarat,India,Future Tech,Critical Ops,450000,,,,B0-1142,1/10/2024,389225.23,500' USG Joint Tape 10/bx,61051,4,CT,40,RL,655.475,26219,7/12/2021 0:00,11/1/2024 17:00,14191958070
4631,A0-0043,,Jaipur,Rajasthan,India,Wellness,Ambulatory Care,640000,,,,B0-0839,5/8/2024,,"SUCTION CUP LIFTER,8 IN CUP DIAMETER",58185,2,,,,8998.795,,3/22/2019 0:00,5/7/2025 17:00,39191521699
5376,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1145,1/18/2024,1896259.95,"1-5/8"" x 10' Stud 1-5/8"" Flange 20ga 33mil",59950,15,PC,0.15,ML,170089.5,25513.425,8/15/2022 0:00,1/21/2025 0:00,23204555261
7377,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-1655,5/9/2024,394570.9,"#6 x 1-1/4"" Scorpion Bugle Head Drill Point Zinc 8M",46796,3,BX,3,BX,8976.25,26928.75,5/6/2022 0:00,5/30/2025 0:00,15598821597
9677,A0-0219,,Indore,Madhya Pradesh,India,Misc Market,Learning Hub,40000,2,0,0,B0-2412,2/27/2023,2720052.58,"4"" x 10' Track 1-1/2"" Leg 16ga",50891,8,PC,0.08,ML,137190.5,10975.24,12/14/2021 0:00,11/17/2023 12:00,3600136735
7299,A0-0194,,Bhopal,Madhya Pradesh,India,Enterprise,Workspace,262400,,,,B0-1642,5/1/2024,50186.005,"2-1/2"" x 10' Track 1-1/4"" Leg 18ga",59996,10,PC,0.1,ML,90180,9018,4/1/2022 0:00,6/18/2024 0:00,1458294768
13089,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-3676,10/15/2024,131595.165,"6"" x 10' Flat Strap 20ga 30mil",61409,140,PC,1.4,ML,88259.5,123563.3,8/15/2022 0:00,1/21/2025 0:00,23204555261
5599,A0-0175,,Nagpur,Maharashtra,India,Wellness,Health Center,1596,,,,B0-1207,2/8/2024,616143.16,"3/4"" x 2' x 4' USG Mars SQ 48SF White 6/CT",59801,8,CT,0.384,MS,219187.5,84168,9/14/2023 0:00,7/31/2024 12:00,76979735.5
8204,A0-0155,,Surat,Gujarat,India,Misc Market,Workspace,838094,41,,,B0-1884,1/30/2023,98464.87,"6"" x 10' Flat Strap 18ga 43mil
LVL 7 AREA 2",61410,50,PC,0.5,ML,106462.5,53231.25,9/2/2019 0:00,12/29/2023 17:00,15673671106
4360,A0-0065,,Patna,Bihar,India,Tertiary Learning,R&amp;D Laboratories,1800,,,,B0-0436,8/14/2023,291192.055,"2-1/2"" 20ga DW Stud 12'",61187,90,pcs,1080,,50601,,5/29/2023 0:00,8/29/2023 12:00,47040476.5
9408,A0-0249,,Vadodara,Gujarat,India,Tertiary Learning,R&amp;D Laboratories,3165,1,,,B0-2310,5/5/2023,327090.375,"4"" x 16' C-T Stud 20ga 30mil",66537,40,PC,0.64,ML,170924.5,109391.68,1/1/2023 0:00,8/31/2024 0:00,483032857.4
5240,A0-0161,,Coimbatore,Tamil Nadu,India,Tertiary Learning,Misc Build,34000,2,,,B0-1110,1/4/2024,58825.75,"1-1/2"" x 1-1/2"" x 10' Angle 20ga 33mil",51164,40,PC,0.4,ML,37742,15096.8,9/1/2020 0:00,4/5/2024 0:00,1642865619
1473,A0-0011,,Thiruvananthapuram,Kerala,India,Wellness,Ambulatory Care,80000,,,,B0-0330,7/3/2023,116800.635,"7-1/4"" 24T ROUND ARBOR MARATHON BLADE
IRWIN",25234,20,,,,798.26,15965.2,8/1/2022 0:00,2/5/2025 0:00,5447968752
10796,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-2769,8/17/2023,640525.16,"#6 x 1-7/8"" Scorpion Bugle Head Drill Point Zinc 4M",46798,1,BX,1,BX,6554.75,6554.75,5/6/2022 0:00,5/30/2025 0:00,15598821597
5578,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-1199,1/22/2024,13663.105,Grabber Quick Change Utility Knife,26847,4,EA,4,EA,709.75,2839,5/6/2022 0:00,5/30/2025 0:00,15598821597
12811,A0-0186,,Pune,Maharashtra,India,Misc Market,Workspace,171000,5,,,B0-3578,9/3/2024,611164.89,"3-5/8"" x 10' Track 1-1/2"" Leg 20ga 33mil",50875,60,PC,0.6,ML,61038.5,36623.1,10/18/2021 0:00,6/2/2026 0:00,15701858802
6400,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-1421,3/14/2024,478378.18,"6"" x 10' Track 1-1/2"" Leg 16ga (54mil)",50879,30,PC,0.3,ML,197561,59268.3,2/3/2020 0:00,10/31/2025 0:00,34925565107
5564,A0-0163,,Kochi,Kerala,India,Wellness,Health Center,19500,,,,B0-1193,1/23/2024,133135.74,"5/8"" x 4' x 9' Type X Drywall",61215,100,PC,3.6,MS,34235,123246,5/26/2023 0:00,5/2/2025 8:00,714978787.5
10888,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-2793,9/19/2023,245195.245,"4"" x 10' Tabbed J-Track 1"" x 2-1/4"" Legs 20ga 33mil",60958,10,PC,0.1,ML,127922,12792.2,8/15/2022 0:00,1/21/2025 0:00,23204555261
12176,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-3303,3/21/2024,576223.48,"6"" x 10' Stud 1-5/8"" Flange 16ga",40328,20,PC,0.2,ML,239311,47862.2,8/15/2022 0:00,1/21/2025 0:00,23204555261
6149,A0-0068,,Visakhapatnam,Andhra Pradesh,India,Enterprise,Critical Ops,265850,0,0,0,B0-1357,2/29/2024,61957,"12"" x 77"" Arrow 4' Ceiling Tile Workstation",66901,1,EA,1,EA,58450,58450,9/12/2022 0:00,10/2/2023 0:00,4131524341
11669,A0-0020,,Chandigarh,Chandigarh,India,Future Tech,Critical Ops,1400000,2,,,B0-3120,11/15/2023,461120.4,"12' x 1.64"" USG Fire Rated HD Main Tee Donn DXL
White 050 20/BX",60203,30,CT,7.2,ML,64044.5,461120.4,6/13/2022 0:00,2/4/2026 0:00,1.34E+11
2211,A0-0075,,Mumbai,Maharashtra,India,Wellness,Health Center,750,0,0,0,B0-0481,5/10/2023,100885.535,"Arm x17348 4' x 15/16 Cross Tee
White 60pc/ct",61312,8,pcs,32,,77655,,2/6/2023 0:00,6/16/2023 12:00,34491903.62
579,A0-0011,,Thiruvananthapuram,Kerala,India,Wellness,Ambulatory Care,80000,,,,B0-0145,2/3/2023,310787.835,"RECEIVE FREE 140XRJ05Z WITH PURCHASE OF
QUALYFING MAKITA LXT KIT",44218,2,,,,-16699.165,-33398.33,8/1/2022 0:00,2/5/2025 0:00,5447968752
1512,A0-0030,,Jaipur,Rajasthan,India,Bio Innovation,Misc Build,1046120,,,,B0-0343,7/7/2023,11872.865,"#4 9"" SPEED DOWEL 25/BAG GREENSTREAK",64196,4,,,,2754.665,11018.66,6/1/2022 0:00,6/30/2025 0:00,34018793433
6019,A0-0148,,Guwahati,Assam,India,Enterprise,Workspace,92942,,,,B0-1313,2/14/2024,470689.5,USG All Purpose Joint Compound 4.5g Pail,50016,104,PA,104,PA,1665.825,173245.8,6/1/2023 0:00,8/23/2024 12:00,1481952253
12026,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-3238,12/20/2023,453023.405,Westpac Fast Set 40 Lite 20# Bag,66434,15,BG,15,BG,864.225,12963.375,2/3/2020 0:00,10/31/2025 0:00,34925565107
9747,A0-0161,,Coimbatore,Tamil Nadu,India,Tertiary Learning,Misc Build,34000,2,,,B0-2416,4/6/2023,407970.145,"6"" x 10' Track 1-1/4"" Leg 20ga 30mil",60759,20,PC,0.2,ML,100283.5,20056.7,9/1/2020 0:00,4/5/2024 0:00,1642865619
5928,A0-0148,,Guwahati,Assam,India,Enterprise,Workspace,92942,,,,B0-1290,2/9/2024,132079.465,"2"" x 2"" x 10' Angle 20ga 30mil",61343,20,PC,0.2,ML,63209.5,12641.9,6/1/2023 0:00,8/23/2024 12:00,1481952253
415,A0-0011,,Thiruvananthapuram,Kerala,India,Wellness,Ambulatory Care,80000,,,,B0-0117,1/10/2023,156797.97,"14PC 1/2DR DEEP IMPACT SOCKET SET
WRIGHT",62958,1,,,,17461.52,17461.52,8/1/2022 0:00,2/5/2025 0:00,5447968752
6606,A0-0192,,Mysuru,Karnataka,India,Wellness,Ambulatory Care,1160,,,,B0-1489,3/28/2024,14112.335,Westpac Fast Set 40 Lite 20# Bag,66434,5,BG,5,BG,864.225,4321.125,8/16/2021 0:00,8/1/2024 17:00,199959655.2
8399,A0-0208,,Delhi,Delhi,India,Wellness,Health Center,31200,,,,B0-1957,2/10/2023,31563,"3-5/8"" × 10' Slotted Slip Track 2-1/2"" Leg 20ga EQ",60937,10,PC,0.1,ML,159485,15948.5,11/1/2022 0:00,7/3/2023 12:00,951166124.3
13320,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-3778,11/25/2024,27234.36,National Quick Set Lite 20 Min 18# Bag,55228,10,BG,10,BG,1022.875,10228.75,8/15/2022 0:00,1/21/2025 0:00,23204555261
4543,A0-0111,,Rajkot,Gujarat,India,Wellness,Health Center,400000,9,,,B0-0785,6/29/2023,17535,"3/4 (23/32) "" 1-1/2"" X 96""",63200,100,PCS  ,,,112.725,,12/5/2022 0:00,6/23/2025 0:00,22955715208
427,A0-0009,,Jaipur,Rajasthan,India,Enterprise,Workspace,350000,4,,,B0-0123,1/18/2023,1218218.24,"4""X180' TAPE STEGO",26774,15,,,,2967.59,44513.85,9/6/2022 0:00,8/15/2024 0:00,9895473728
622,A0-0009,,Jaipur,Rajasthan,India,Enterprise,Workspace,350000,4,,,B0-0150,2/8/2023,181665.105,"5/8"" X 15-3/4"" X 23-3/4"" SDS MAX HOLLOW
BIT DEWALT",56728,2,,,,11360.175,22720.35,9/6/2022 0:00,8/15/2024 0:00,9895473728
2095,A0-0072,,Mumbai,Maharashtra,India,Wellness,Health Center,1000,0,0,0,B0-0457,3/31/2023,103438.965,"1 1/4"" Metal Corner Bead 10'",58216,6,PCS,60,,32064,,3/6/2023 0:00,5/19/2023 0:00,29582132.01
6342,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-1409,3/6/2024,105018.785,"12' x 1.64"" USG Fire Rated HD Main Tee Donn
DX/DXL Flat Black 20/BX",66972,2,CT,0.48,ML,90096.5,43246.32,2/3/2020 0:00,10/31/2025 0:00,34925565107
2381,A0-0057,,Varanasi,Uttar Pradesh,India,Enterprise,Workspace,523093,11,274,0,B0-0511,7/5/2023,59388.54,"U.S.G. Mid-Weight Mud 4.5 Gallon
Pail Purple",61282,10,can,10,,1983.125,,10/19/2020 0:00,7/10/2023 12:00,12657755648
10045,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-2461,6/15/2023,-4446.375,"6"" x 25' C-T Stud 20ga 33mil
Orig Inv#: 1006376817-001",61010,-20,PC,,ML,191465.5,-95732.75,8/15/2022 0:00,1/21/2025 0:00,23204555261
2341,A0-0016,,Mumbai,Maharashtra,India,Enterprise,Workspace,3300,0,0,0,B0-0502,7/1/2023,18776.645,"N95 Respirator 8200 3M Respirator
20/box",51854,1,box,1,,1681.69,,2/27/2023 0:00,11/30/2023 0:00,169152463
266,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-0075,5/25/2023,102187.3,10.1OZ CETSEAL SEALANT ADHESIVE CETCO,58121,9,,,,1404.47,12640.23,2/3/2020 0:00,10/31/2025 0:00,34925565107
3026,A0-0095,,Kanpur,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,0,0,0,0,B0-0624,2/6/2023,32489.015,"1-5/8"" 20ga DW Track 10' w/1-1/4"" Leg",61265,2,PCS,20,,47261,,10/1/2021 0:00,5/5/2023 0:00,547170426.5
10456,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-2646,7/31/2023,687161.58,"1-1/2"" x 1-1/2"" x 10' Angle 18ga 43mil
4TH FLOOR",61323,40,PC,0.4,ML,55360.5,22144.2,2/3/2020 0:00,10/31/2025 0:00,34925565107
5280,A0-0003,,Ahmedabad,Gujarat,India,Future Tech,Critical Ops,450000,,,,B0-1115,1/18/2024,1105773.8,"6"" x 19' 8"" Stud 1-5/8"" Flange 16ga",60695,160,PC,3.147,ML,196225,617455.78,7/12/2021 0:00,11/1/2024 17:00,14191958070
6248,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1380,2/29/2024,125387.775,"2"" x 2"" x 10' Angle 20ga 30mil",61343,200,PC,2,ML,58867.5,117735,8/15/2022 0:00,1/21/2025 0:00,23204555261
8910,A0-0028,,Agra,Uttar Pradesh,India,Wellness,Ambulatory Care,4500,0,5,0,B0-2134,3/29/2023,17861.485,"3-5/8"" x 10' Track 1-1/4"" Leg 20ga EQ",60409,10,PC,0.1,ML,49265,4926.5,1/23/2023 0:00,7/7/2023 12:00,165263859.7
10538,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-2680,8/8/2023,2986534.48,"6"" x 12' Track 1-1/2"" Leg 14ga",60191,90,PC,1.08,ML,227955,246191.4,2/3/2020 0:00,10/31/2025 0:00,34925565107
6109,A0-0164,,Amritsar,Punjab,India,Bio Innovation,Pharma Synth,40000,,,,B0-1341,2/19/2024,70557.5,"3-5/8"" x 10' Stud 1-5/8"" Flange 18ga",63667,20,PC,0.2,ML,132347.5,26469.5,11/1/2022 0:00,6/11/2025 0:00,7712088582
9363,A0-0268,,Nagpur,Maharashtra,India,Wellness,Health Center,3321,,,,B0-2293,5/11/2023,327016.06,"1-1/2"" x 4' USG Donn AX 15/16"" Cross Tee Aluminum
with SS Clips Flat White 60/BX #",66911,71,PC,0.284,ML,224364.5,63719.685,2/1/2023 0:00,10/13/2023 12:00,115452736.3
2089,A0-0072,,Mumbai,Maharashtra,India,Wellness,Health Center,1000,0,0,0,B0-0457,3/31/2023,103438.965,"3-5/8"" 20ga DW Track 10' w/1-1/4"" Leg",61206,10,pcs,100,,65464,,3/6/2023 0:00,5/19/2023 0:00,29582132.01
12942,A0-0183,,Ludhiana,Punjab,India,Bio Innovation,R&amp;D Laboratories,250000,0,0,0,B0-3618,9/11/2024,227457.34,"3-5/8"" x 10' Track 1-1/4"" Leg 20ga EQ",60409,20,PC,0.2,ML,43002.5,8600.5,4/5/2021 0:00,8/23/2024 0:00,8656553408
2143,A0-0073,,Jodhpur,Rajasthan,India,Wellness,Health Center,120000,3,0,60,B0-0468,4/5/2023,15798.2,"#8 x 2"" Wafer Head Sharp Point 5lb
Screw V3151",63918,2,box,2,,4364.545,,5/3/2021 0:00,9/8/2023 12:00,6223919374
4192,A0-0057,,Varanasi,Uttar Pradesh,India,Enterprise,Workspace,523093,11,274,0,B0-0707,2/10/2023,211007.84,"Arm 4"" 1 piece Axiom DW trim straight
10' White",63892,16,pc,16,,12441.5,,10/19/2020 0:00,7/10/2023 12:00,12657755648
9758,A0-0161,,Coimbatore,Tamil Nadu,India,Tertiary Learning,Misc Build,34000,2,,,B0-2416,4/6/2023,407970.145,"12"" x 10' Flat Strap 16ga 54mil G60",65139,10,PC,0.1,ML,254675,25467.5,9/1/2020 0:00,4/5/2024 0:00,1642865619
4008,A0-0081,,Mumbai,Maharashtra,India,Wellness,Ambulatory Care,1200,,,,B0-0541,9/14/2023,8780.025,"Quick Set Lite 20 Settin g Compound
18lb Bag",55228,1,bag,1,,1369.4,,7/24/2023 0:00,9/15/2023 12:00,17326083
1083,A0-0025,,Jaipur,Rajasthan,India,Bio Innovation,R&amp;D Laboratories,249000,5,,,B0-0239,5/1/2023,19530.65,NOSE CONE ASS'Y MAKITA 197024-6,63119,12,,,,1510.515,18126.18,2/14/2022 0:00,10/17/2024 0:00,7645779545
1672,A0-0018,,Udaipur,Rajasthan,India,Enterprise,Misc Build,20000,,,,B0-0380,9/26/2023,81605.385,"LHSP 48"" WOOD HANDLE UNION SHOVEL AMES",64043,2,EA,,,1454.57,2909.14,4/4/2022 0:00,1/12/2024 12:00,361624722.5
4220,A0-0057,,Varanasi,Uttar Pradesh,India,Enterprise,Workspace,523093,11,274,0,B0-0716,2/20/2023,394554.2,"3m Venture #1540 3""x150' ASJ White
Tape",56646,16,roll,16,,3019.36,,10/19/2020 0:00,7/10/2023 12:00,12657755648
9167,A0-0248,,Ranchi,Jharkhand,India,Wellness,Ambulatory Care,12866,,,,B0-2232,4/17/2023,-344677.98,12' Hanger Wire 12ga 50LB 133pc,65354,4,BD,4,BD,6262.5,25050,2/20/2023 0:00,10/3/2023 12:00,140673285
3112,A0-0079,,Mumbai,Maharashtra,India,Enterprise,Workspace,6133,0,0,0,B0-0632,7/10/2023,181804.55,"Drywall Paper Joint Tape 250' Roll
20/box",42172,2,roll,2,,354.04,,5/30/2023 0:00,10/4/2023 12:00,184506781.2
3520,A0-0068,,Visakhapatnam,Andhra Pradesh,India,Enterprise,Critical Ops,265850,0,0,0,B0-0458,3/31/2023,28162.88,"Flat Head Tapcon 1/4 x 3 1/4"" 100/bx",66237,6,box,6,,1796.92,,9/12/2022 0:00,10/2/2023 0:00,4131524341
9215,A0-0229,,Bhubaneswar,Odisha,India,Enterprise,Hospitality Hall,500000,,500,500,B0-2253,4/20/2023,21694.135,"1-1/4"" x 10' Clark Quicksilver Corner Bead 50/bx",66932,1,CT,0.5,ML,21710,10855,8/1/2022 0:00,6/2/2023 0:00,2838833529
1972,A0-0057,,Varanasi,Uttar Pradesh,India,Enterprise,Workspace,523093,11,274,0,B0-0441,3/9/2023,80256.86,"2"" 3M 2090 SOLD BY ROLL Blue
Premium Tape 180'",52665,5,roll,5,,1071.305,,10/19/2020 0:00,7/10/2023 12:00,12657755648
2609,A0-0082,,Mumbai,Maharashtra,India,Enterprise,Workspace,2568,0,0,0,B0-0549,9/27/2023,17862.32,"5/8"" Firecode Drywall 4' x 8'",62237,2,PCS,64,,48012.5,,3/27/2023 0:00,9/8/2023 12:00,129415982
7403,A0-0160,,Cuttack,Odisha,India,Bio Innovation,R&amp;D Laboratories,55000,0,0,0,B0-1658,5/10/2024,30239.525,"1/4"" x 3"" Doc's Industries I-LAG Screw 1M",34439,1,BX,1,BX,5702.215,5702.215,5/1/2023 0:00,8/22/2024 17:00,2838119884
7666,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-1727,6/3/2024,536500.025,"#6 x 1-1/4"" Scorpion Bugle Head Drill Point Zinc 8M",46796,3,BX,3,BX,8976.25,26928.75,5/6/2022 0:00,5/30/2025 0:00,15598821597
10808,A0-0156,,Nagpur,Maharashtra,India,Wellness,Health Center,583000,,,,B0-2773,9/19/2023,584232.8,10' Hanger Wire 12ga with Clip / Pin 100/BD,43460,2,BD,2,BD,8049.4,16098.8,11/28/2018 0:00,8/23/2024 0:00,23273459144
695,A0-0009,,Jaipur,Rajasthan,India,Enterprise,Workspace,350000,4,,,B0-0154,2/10/2023,656452.785,"14'X140' 15MIL CLASS A VAPOR BARRIER
WHITE ROLL WRAPPER STEGO",64529,16,,,,33362.425,533798.8,9/6/2022 0:00,8/15/2024 0:00,9895473728
9350,A0-0236,,Madurai,Tamil Nadu,India,Enterprise,Workspace,30100,,,,B0-2289,5/1/2023,62342.77,"12' x 1.64"" USG NON Fire Rated 15/16"" Main Tee
Donn DX Flat White 050 20/BX",49025,1,CT,0.24,ML,94772.5,22745.4,11/1/2022 0:00,4/12/2023 12:00,408404495.3
11406,A0-0189,,Vadodara,Gujarat,India,Enterprise,Workspace,114807,4,,,B0-3020,10/27/2023,437699.485,"5/8"" x 3/4"" x 10' Fry Reglet Drywall Reveal Chemical
Film",67072,70,PC,0.7,ML,280894,196625.8,6/1/2023 0:00,1/18/2024 17:00,1730968970
10651,A0-0189,,Vadodara,Gujarat,India,Enterprise,Workspace,114807,4,,,B0-2715,8/14/2023,492022.915,"1-5/8"" x 10' Track 1-1/4"" Leg 20ga EQ",53691,40,PC,0.4,ML,38243,15297.2,6/1/2023 0:00,1/18/2024 17:00,1730968970
7073,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1606,5/2/2024,176298.56,"1-1/2"" x 3-1/2"" x 10' Angle 14ga 68mil",61423,50,PC,0.5,ML,331077.5,165538.75,8/15/2022 0:00,1/21/2025 0:00,23204555261
11971,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-3217,12/12/2023,422717.08,"4"" x 10' Tabbed J-Track 1"" x 2-1/4"" Legs 20ga 33mil",60958,80,PC,0.8,ML,99156.25,79325,5/6/2022 0:00,5/30/2025 0:00,15598821597
11170,A0-0174,,Ranchi,Jharkhand,India,Bio Innovation,R&amp;D Laboratories,1593,,,,B0-2912,9/21/2023,66972.01,Ruco All Purpose 4.5g Pail,66751,20,PA,20,PA,1607.375,32147.5,4/10/2023 0:00,2/26/2024 12:00,128152645.4
11690,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-3128,11/30/2023,367297.295,"4"" x 14' Stud 1-5/8"" Flange 20ga 33mil",60569,54,PC,0.756,ML,107130.5,80990.825,2/3/2020 0:00,10/31/2025 0:00,34925565107
8367,A0-0166,,Chennai,Tamil Nadu,India,Tertiary Learning,Learning Hub,184000,0,0,0,B0-1947,2/20/2023,3458709.445,"3-5/8"" x 16' Stud 2"" Flange 12ga Unpunched",66505,10,PC,0.16,ML,328071.5,52491.44,11/19/2019 0:00,1/24/2025 12:00,15539779791
5934,A0-0148,,Guwahati,Assam,India,Enterprise,Workspace,92942,,,,B0-1291,2/9/2024,223703.18,"3-5/8"" x 10' Track 1-1/4"" Leg 20ga EQ",60409,60,PC,0.6,ML,58366.5,35019.9,6/1/2023 0:00,8/23/2024 12:00,1481952253
4915,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1035,2/19/2024,316137.68,250' USG Joint Tape 20/bx,42172,30,CT,600,RL,396.625,237975,8/15/2022 0:00,1/21/2025 0:00,23204555261
11864,A0-0003,,Ahmedabad,Gujarat,India,Future Tech,Critical Ops,450000,,,,B0-3169,11/30/2023,278847.415,"1-1/2"" x 10'U-Channel CRC 1/2"" Leg 16ga 54mil",51168,40,PC,0.4,ML,52855.5,21142.2,7/12/2021 0:00,11/1/2024 17:00,14191958070
4843,A0-0134,,Ranchi,Jharkhand,India,Enterprise,Workspace,600000,,,,B0-0981,9/22/2023,,"STORAGE TOTE, DARK INDIGO, POLYETHYLENE",62703,4,,,,1616.56,,6/24/2021 0:00,6/16/2023 12:00,6896114767
6221,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1373,2/27/2024,1218022.85,"4"" x 12' Tabbed J-Track 1"" x 2-1/4"" Legs 20ga 33mil",60957,16,PC,0.192,ML,127922,24560.69,8/15/2022 0:00,1/21/2025 0:00,23204555261
